48	Dexter	Blue Bloods	https://compstorylab.org/archetypometrics/cards/Blue-Bloods-1600-364-241.pdf
49	Downton Abbey	Mean Girls	https://compstorylab.org/archetypometrics/cards/Mean-Girls-1600-364-241.pdf
50	Dr. Horrible's Sing-Along Blog	Modern Family	https://compstorylab.org/archetypometrics/cards/Modern-Family-1600-364-241.pdf
51	Dune	Mad Men	https://compstorylab.org/archetypometrics/cards/Mad-Men-1600-364-241.pdf
52	Elementary	Mindhunter	https://compstorylab.org/archetypometrics/cards/Mindhunter-1600-364-241.pdf
53	Ender's Game	Mulan	https://compstorylab.org/archetypometrics/cards/Mulan-1600-364-241.pdf
54	Entourage	Cowboy Bebop	https://compstorylab.org/archetypometrics/cards/Cowboy-Bebop-1600-364-241.pdf
55	Eternal Sunshine of the Spotless Mind	Psych	https://compstorylab.org/archetypometrics/cards/Psych-1600-364-241.pdf
56	Ex Machina	Mr. Robot	https://compstorylab.org/archetypometrics/cards/Mr-Robot-1600-364-241.pdf
57	Farscape	Frozen	https://compstorylab.org/archetypometrics/cards/Frozen-1600-364-241.pdf
58	Fast & Furious	Firefly + Serenity	https://compstorylab.org/archetypometrics/cards/Firefly--Serenity-1600-364-241.pdf
59	Fight Club	Brooklyn Nine-Nine	https://compstorylab.org/archetypometrics/cards/Brooklyn-Nine-Nine-1600-364-241.pdf
60	Finding Nemo	Smallville	https://compstorylab.org/archetypometrics/cards/Smallville-1600-364-241.pdf
61	Firefly + Serenity	Se7en	https://compstorylab.org/archetypometrics/cards/Se7en-1600-364-241.pdf
62	Fleabag	Good Will Hunting	https://compstorylab.org/archetypometrics/cards/Good-Will-Hunting-1600-364-241.pdf
63	Forrest Gump	Transformers	https://compstorylab.org/archetypometrics/cards/Transformers-1600-364-241.pdf
64	Friday Night Lights	Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-1600-364-241.pdf
65	Friends	Fight Club	https://compstorylab.org/archetypometrics/cards/Fight-Club-1600-364-241.pdf
66	Frozen	Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-1600-364-241.pdf
67	Futurama	Forrest Gump	https://compstorylab.org/archetypometrics/cards/Forrest-Gump-1600-364-241.pdf
68	Game of Thrones	The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-1600-364-241.pdf
69	Get Out	Finding Nemo	https://compstorylab.org/archetypometrics/cards/Finding-Nemo-1600-364-241.pdf
70	Ghostbusters	Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-1600-364-241.pdf
71	Gilmore Girls	How I Met Your Mother	https://compstorylab.org/archetypometrics/cards/How-I-Met-Your-Mother-1600-364-241.pdf
72	Girls	Before Sunrise	https://compstorylab.org/archetypometrics/cards/Before-Sunrise-1600-364-241.pdf
73	Gladiator	Coco	https://compstorylab.org/archetypometrics/cards/Coco-1600-364-241.pdf
74	Glee	Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-1600-364-241.pdf
75	Gone Girl	Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-1600-364-241.pdf
76	Gone With the Wind	How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-1600-364-241.pdf
77	Good Will Hunting	Calvin and Hobbes	https://compstorylab.org/archetypometrics/cards/Calvin-and-Hobbes-1600-364-241.pdf
78	Gossip Girl	Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-1600-364-241.pdf
79	Gotham	Friends	https://compstorylab.org/archetypometrics/cards/Friends-1600-364-241.pdf
80	Grey's Anatomy	Casablanca	https://compstorylab.org/archetypometrics/cards/Casablanca-1600-364-241.pdf
81	Hamilton	Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-1600-364-241.pdf
82	Hamlet	Dune	https://compstorylab.org/archetypometrics/cards/Dune-1600-364-241.pdf
83	Hannibal	Veep	https://compstorylab.org/archetypometrics/cards/Veep-1600-364-241.pdf
84	Harry Potter	Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-1600-364-241.pdf
85	House, M.D.	Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-1600-364-241.pdf
86	How I Met Your Mother	The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-1600-364-241.pdf
87	How To Get Away With Murder	South Park	https://compstorylab.org/archetypometrics/cards/South-Park-1600-364-241.pdf
88	Hustlers	Star Wars: A New Hope	https://compstorylab.org/archetypometrics/cards/Star-Wars-A-New-Hope-1600-364-241.pdf
89	Inception	Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-1600-364-241.pdf
90	Independence Day	Supernatural	https://compstorylab.org/archetypometrics/cards/Supernatural-1600-364-241.pdf
91	It's Always Sunny in Philadelphia	Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-1600-364-241.pdf
92	Jane the Virgin	Shrek	https://compstorylab.org/archetypometrics/cards/Shrek-1600-364-241.pdf
93	Jennifer's Body	Mad Max: Fury Road	https://compstorylab.org/archetypometrics/cards/Mad-Max-Fury-Road-1600-364-241.pdf
94	Jurassic Park	Sailor Moon	https://compstorylab.org/archetypometrics/cards/Sailor-Moon-1600-364-241.pdf
95	Killing Eve	Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-1600-364-241.pdf
96	LOST	Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-1600-364-241.pdf
97	Law & Order: SVU	Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-1600-364-241.pdf
98	Les Misérables	Sons of Anarchy	https://compstorylab.org/archetypometrics/cards/Sons-of-Anarchy-1600-364-241.pdf
99	Lilo & Stitch	Supergirl	https://compstorylab.org/archetypometrics/cards/Supergirl-1600-364-241.pdf
100	Little Women	Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-1600-364-241.pdf
101	Lord of the Rings	Shaun of the Dead	https://compstorylab.org/archetypometrics/cards/Shaun-of-the-Dead-1600-364-241.pdf
102	Lucifer	Chilling Adventures of Sabrina	https://compstorylab.org/archetypometrics/cards/Chilling-Adventures-of-Sabrina-1600-364-241.pdf
103	M*A*S*H	Unbreakable Kimmy Schmidt	https://compstorylab.org/archetypometrics/cards/Unbreakable-Kimmy-Schmidt-1600-364-241.pdf
104	Macbeth	West Side Story	https://compstorylab.org/archetypometrics/cards/West-Side-Story-1600-364-241.pdf
105	Mad Max: Fury Road	Futurama	https://compstorylab.org/archetypometrics/cards/Futurama-1600-364-241.pdf
106	Mad Men	Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-1600-364-241.pdf
107	Marvel Cinematic Universe	Archer	https://compstorylab.org/archetypometrics/cards/Archer-1600-364-241.pdf
108	Mean Girls	Ctrl+Alt+Del	https://compstorylab.org/archetypometrics/cards/CtrlAltDel-1600-364-241.pdf
109	Mindhunter	One Flew Over the Cuckoo's Nest	https://compstorylab.org/archetypometrics/cards/One-Flew-Over-the-Cuckoos-Nest-1600-364-241.pdf
110	Modern Family	Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-1600-364-241.pdf
111	Money Heist	Les Mis\'{e}rables	https://compstorylab.org/archetypometrics/cards/Les-Miserables-1600-364-241.pdf
112	Mr. Robot	The Lion King	https://compstorylab.org/archetypometrics/cards/The-Lion-King-1600-364-241.pdf
113	Mulan	The 100	https://compstorylab.org/archetypometrics/cards/The-100-1600-364-241.pdf
