index	character	character in latex	character/story	character/story in latex	card url
494	Leonard Hofstadter	Leonard Hofstadter	Leonard Hofstadter/The Big Bang Theory	Leonard Hofstadter/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Leonard-Hofstadter-0800-235-090.pdf
495	Sheldon Cooper	Sheldon Cooper	Sheldon Cooper/The Big Bang Theory	Sheldon Cooper/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Sheldon-Cooper-0800-235-090.pdf
496	Penny Hofstadter	Penny Hofstadter	Penny Hofstadter/The Big Bang Theory	Penny Hofstadter/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Penny-Hofstadter-0800-235-090.pdf
497	Howard Wolowitz	Howard Wolowitz	Howard Wolowitz/The Big Bang Theory	Howard Wolowitz/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Howard-Wolowitz-0800-235-090.pdf
498	Raj Koothrappali	Raj Koothrappali	Raj Koothrappali/The Big Bang Theory	Raj Koothrappali/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Raj-Koothrappali-0800-235-090.pdf
499	Leslie Winkle	Leslie Winkle	Leslie Winkle/The Big Bang Theory	Leslie Winkle/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Leslie-Winkle-0800-235-090.pdf
500	Bernadette Rostenkowski	Bernadette Rostenkowski	Bernadette Rostenkowski/The Big Bang Theory	Bernadette Rostenkowski/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Bernadette-Rostenkowski-0800-235-090.pdf
501	Amy Farrah Fowler	Amy Farrah Fowler	Amy Farrah Fowler/The Big Bang Theory	Amy Farrah Fowler/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Amy-Farrah-Fowler-0800-235-090.pdf
502	Stuart Bloom	Stuart Bloom	Stuart Bloom/The Big Bang Theory	Stuart Bloom/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Stuart-Bloom-0800-235-090.pdf
503	Mary Cooper	Mary Cooper	Mary Cooper/The Big Bang Theory	Mary Cooper/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Mary-Cooper-0800-235-090.pdf
504	Indiana Jones	Indiana Jones	Indiana Jones/Raiders of the Lost Ark	Indiana Jones/Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-Indiana-Jones-0800-235-090.pdf
505	Marion Ravenwood	Marion Ravenwood	Marion Ravenwood/Raiders of the Lost Ark	Marion Ravenwood/Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-Marion-Ravenwood-0800-235-090.pdf
506	Dr. Rene Belloq	Dr. Rene Belloq	Dr. Rene Belloq/Raiders of the Lost Ark	Dr. Rene Belloq/Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-Dr-Rene-Belloq-0800-235-090.pdf
507	Major Arnold Toht	Major Arnold Toht	Major Arnold Toht/Raiders of the Lost Ark	Major Arnold Toht/Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-Major-Arnold-Toht-0800-235-090.pdf
508	Sallah	Sallah	Sallah/Raiders of the Lost Ark	Sallah/Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-Sallah-0800-235-090.pdf
509	Dr. Marcus Brody	Dr. Marcus Brody	Dr. Marcus Brody/Raiders of the Lost Ark	Dr. Marcus Brody/Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-Dr-Marcus-Brody-0800-235-090.pdf
510	Richard Hendricks	Richard Hendricks	Richard Hendricks/Silicon Valley	Richard Hendricks/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Richard-Hendricks-0800-235-090.pdf
511	Erlich Bachman	Erlich Bachman	Erlich Bachman/Silicon Valley	Erlich Bachman/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Erlich-Bachman-0800-235-090.pdf
512	Nelson Bighetti	Nelson Bighetti	Nelson Bighetti/Silicon Valley	Nelson Bighetti/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Nelson-Bighetti-0800-235-090.pdf
513	Bertram Gilfoyle	Bertram Gilfoyle	Bertram Gilfoyle/Silicon Valley	Bertram Gilfoyle/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Bertram-Gilfoyle-0800-235-090.pdf
514	Dinesh Chugtai	Dinesh Chugtai	Dinesh Chugtai/Silicon Valley	Dinesh Chugtai/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Dinesh-Chugtai-0800-235-090.pdf
515	Peter Gregory	Peter Gregory	Peter Gregory/Silicon Valley	Peter Gregory/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Peter-Gregory-0800-235-090.pdf
516	Monica Hall	Monica Hall	Monica Hall/Silicon Valley	Monica Hall/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Monica-Hall-0800-235-090.pdf
517	Jared Dunn	Jared Dunn	Jared Dunn/Silicon Valley	Jared Dunn/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Jared-Dunn-0800-235-090.pdf
518	Gavin Belson	Gavin Belson	Gavin Belson/Silicon Valley	Gavin Belson/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Gavin-Belson-0800-235-090.pdf
519	Jian-Yang	Jian-Yang	Jian-Yang/Silicon Valley	Jian-Yang/Silicon Valley	https://compstorylab.org/archetypometrics/cards/Silicon-Valley-Jian-Yang-0800-235-090.pdf
520	Aang	Aang	Aang/Avatar: The Last Airbender	Aang/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Aang-0800-235-090.pdf
521	Zuko	Zuko	Zuko/Avatar: The Last Airbender	Zuko/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Zuko-0800-235-090.pdf
522	Katara	Katara	Katara/Avatar: The Last Airbender	Katara/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Katara-0800-235-090.pdf
523	Toph Beifong	Toph Beifong	Toph Beifong/Avatar: The Last Airbender	Toph Beifong/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Toph-Beifong-0800-235-090.pdf
524	Sokka	Sokka	Sokka/Avatar: The Last Airbender	Sokka/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Sokka-0800-235-090.pdf
525	Azula	Azula	Azula/Avatar: The Last Airbender	Azula/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Azula-0800-235-090.pdf
526	Iroh	Iroh	Iroh/Avatar: The Last Airbender	Iroh/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Iroh-0800-235-090.pdf
527	Firelord Ozai	Firelord Ozai	Firelord Ozai/Avatar: The Last Airbender	Firelord Ozai/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Firelord-Ozai-0800-235-090.pdf
528	Ty Lee	Ty Lee	Ty Lee/Avatar: The Last Airbender	Ty Lee/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Ty-Lee-0800-235-090.pdf
529	Hakoda	Hakoda	Hakoda/Avatar: The Last Airbender	Hakoda/Avatar: The Last Airbender	https://compstorylab.org/archetypometrics/cards/Avatar-The-Last-Airbender-Hakoda-0800-235-090.pdf
530	Blondie	Blondie	Blondie/The Good, the Bad, and the Ugly	Blondie/The Good, the Bad, and the Ugly	https://compstorylab.org/archetypometrics/cards/The-Good-the-Bad-and-the-Ugly-Blondie-0800-235-090.pdf
531	Angel Eyes	Angel Eyes	Angel Eyes/The Good, the Bad, and the Ugly	Angel Eyes/The Good, the Bad, and the Ugly	https://compstorylab.org/archetypometrics/cards/The-Good-the-Bad-and-the-Ugly-Angel-Eyes-0800-235-090.pdf
532	Tuco	Tuco	Tuco/The Good, the Bad, and the Ugly	Tuco/The Good, the Bad, and the Ugly	https://compstorylab.org/archetypometrics/cards/The-Good-the-Bad-and-the-Ugly-Tuco-0800-235-090.pdf
533	Sherlock Holmes	Sherlock Holmes	Sherlock Holmes/Sherlock	Sherlock Holmes/Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-Sherlock-Holmes-0800-235-090.pdf
534	Dr. John Watson	Dr. John Watson	Dr. John Watson/Sherlock	Dr. John Watson/Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-Dr-John-Watson-0800-235-090.pdf
535	D.I. Greg Lestrade	D.I. Greg Lestrade	D.I. Greg Lestrade/Sherlock	D.I. Greg Lestrade/Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-DI-Greg-Lestrade-0800-235-090.pdf
536	Mrs. Hudson	Mrs. Hudson	Mrs. Hudson/Sherlock	Mrs. Hudson/Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-Mrs-Hudson-0800-235-090.pdf
537	Mycroft Holmes	Mycroft Holmes	Mycroft Holmes/Sherlock	Mycroft Holmes/Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-Mycroft-Holmes-0800-235-090.pdf
538	Molly Hooper	Molly Hooper	Molly Hooper/Sherlock	Molly Hooper/Sherlock	https://compstorylab.org/archetypometrics/cards/Sherlock-Molly-Hooper-0800-235-090.pdf
539	Carrie Bradshaw	Carrie Bradshaw	Carrie Bradshaw/Sex and the City	Carrie Bradshaw/Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-Carrie-Bradshaw-0800-235-090.pdf
540	Charlotte York	Charlotte York	Charlotte York/Sex and the City	Charlotte York/Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-Charlotte-York-0800-235-090.pdf
541	Miranda Hobbes	Miranda Hobbes	Miranda Hobbes/Sex and the City	Miranda Hobbes/Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-Miranda-Hobbes-0800-235-090.pdf
542	Samantha Jones	Samantha Jones	Samantha Jones/Sex and the City	Samantha Jones/Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-Samantha-Jones-0800-235-090.pdf
543	Mr. Big	Mr. Big	Mr. Big/Sex and the City	Mr. Big/Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-Mr-Big-0800-235-090.pdf
544	Steve Brady	Steve Brady	Steve Brady/Sex and the City	Steve Brady/Sex and the City	https://compstorylab.org/archetypometrics/cards/Sex-and-the-City-Steve-Brady-0800-235-090.pdf
545	Seth	Seth	Seth/Superbad	Seth/Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-Seth-0800-235-090.pdf
546	Evan	Evan	Evan/Superbad	Evan/Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-Evan-0800-235-090.pdf
547	Fogell (McLovin)	Fogell (McLovin)	Fogell (McLovin)/Superbad	Fogell (McLovin)/Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-Fogell-McLovin-0800-235-090.pdf
548	Jules	Jules	Jules/Superbad	Jules/Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-Jules-0800-235-090.pdf
549	Becca	Becca	Becca/Superbad	Becca/Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-Becca-0800-235-090.pdf
550	Officer Slater	Officer Slater	Officer Slater/Superbad	Officer Slater/Superbad	https://compstorylab.org/archetypometrics/cards/Superbad-Officer-Slater-0800-235-090.pdf
551	Jerry Seinfeld	Jerry Seinfeld	Jerry Seinfeld/Seinfeld	Jerry Seinfeld/Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-Jerry-Seinfeld-0800-235-090.pdf
552	George Costanza	George Costanza	George Costanza/Seinfeld	George Costanza/Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-George-Costanza-0800-235-090.pdf
553	Elaine Benes	Elaine Benes	Elaine Benes/Seinfeld	Elaine Benes/Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-Elaine-Benes-0800-235-090.pdf
554	Cosmo Kramer	Cosmo Kramer	Cosmo Kramer/Seinfeld	Cosmo Kramer/Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-Cosmo-Kramer-0800-235-090.pdf
555	Morty Seinfeld	Morty Seinfeld	Morty Seinfeld/Seinfeld	Morty Seinfeld/Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-Morty-Seinfeld-0800-235-090.pdf
556	Helen Seinfeld	Helen Seinfeld	Helen Seinfeld/Seinfeld	Helen Seinfeld/Seinfeld	https://compstorylab.org/archetypometrics/cards/Seinfeld-Helen-Seinfeld-0800-235-090.pdf
557	Bruce Wayne	Bruce Wayne	Bruce Wayne/The Dark Knight	Bruce Wayne/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Bruce-Wayne-0800-235-090.pdf
558	Alfred Pennyworth	Alfred Pennyworth	Alfred Pennyworth/The Dark Knight	Alfred Pennyworth/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Alfred-Pennyworth-0800-235-090.pdf
559	The Joker	The Joker	The Joker/The Dark Knight	The Joker/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-The-Joker-0800-235-090.pdf
560	James Gordon	James Gordon	James Gordon/The Dark Knight	James Gordon/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-James-Gordon-0800-235-090.pdf
561	Harvey Dent	Harvey Dent	Harvey Dent/The Dark Knight	Harvey Dent/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Harvey-Dent-0800-235-090.pdf
