index	character	character in latex	character/story	character/story in latex	card url
593	Sarah O'Brien	Sarah O'Brien	Sarah O'Brien/Downton Abbey	Sarah O'Brien/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Sarah-OBrien-0800-235-090.pdf
594	Anna Bates	Anna Bates	Anna Bates/Downton Abbey	Anna Bates/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Anna-Bates-0800-235-090.pdf
595	Elsie Carson	Elsie Carson	Elsie Carson/Downton Abbey	Elsie Carson/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Elsie-Carson-0800-235-090.pdf
596	William Mason	William Mason	William Mason/Downton Abbey	William Mason/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-William-Mason-0800-235-090.pdf
597	Thomas Barrow	Thomas Barrow	Thomas Barrow/Downton Abbey	Thomas Barrow/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Thomas-Barrow-0800-235-090.pdf
598	Cora Crawley	Cora Crawley	Cora Crawley/Downton Abbey	Cora Crawley/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Cora-Crawley-0800-235-090.pdf
599	Daisy Mason	Daisy Mason	Daisy Mason/Downton Abbey	Daisy Mason/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Daisy-Mason-0800-235-090.pdf
600	Beryl Patmore	Beryl Patmore	Beryl Patmore/Downton Abbey	Beryl Patmore/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Beryl-Patmore-0800-235-090.pdf
601	Violet Crawley	Violet Crawley	Violet Crawley/Downton Abbey	Violet Crawley/Downton Abbey	https://compstorylab.org/archetypometrics/cards/Downton-Abbey-Violet-Crawley-0800-235-090.pdf
602	Dolores Abernathy	Dolores Abernathy	Dolores Abernathy/Westworld	Dolores Abernathy/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Dolores-Abernathy-0800-235-090.pdf
603	Maeve Millay	Maeve Millay	Maeve Millay/Westworld	Maeve Millay/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Maeve-Millay-0800-235-090.pdf
604	Bernard Lowe	Bernard Lowe	Bernard Lowe/Westworld	Bernard Lowe/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Bernard-Lowe-0800-235-090.pdf
605	Teddy Flood	Teddy Flood	Teddy Flood/Westworld	Teddy Flood/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Teddy-Flood-0800-235-090.pdf
606	Ashley Stubbs	Ashley Stubbs	Ashley Stubbs/Westworld	Ashley Stubbs/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Ashley-Stubbs-0800-235-090.pdf
607	Lee Sizemore	Lee Sizemore	Lee Sizemore/Westworld	Lee Sizemore/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Lee-Sizemore-0800-235-090.pdf
608	Elsie Hughes	Elsie Hughes	Elsie Hughes/Westworld	Elsie Hughes/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Elsie-Hughes-0800-235-090.pdf
609	Man in Black	Man in Black	Man in Black/Westworld	Man in Black/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Man-in-Black-0800-235-090.pdf
610	Robert Ford	Robert Ford	Robert Ford/Westworld	Robert Ford/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Robert-Ford-0800-235-090.pdf
611	Theresa Cullen	Theresa Cullen	Theresa Cullen/Westworld	Theresa Cullen/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Theresa-Cullen-0800-235-090.pdf
612	Charlotte Hale	Charlotte Hale	Charlotte Hale/Westworld	Charlotte Hale/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Charlotte-Hale-0800-235-090.pdf
613	Akecheta	Akecheta	Akecheta/Westworld	Akecheta/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Akecheta-0800-235-090.pdf
614	Clementine Pennyfeather	Clementine Pennyfeather	Clementine Pennyfeather/Westworld	Clementine Pennyfeather/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Clementine-Pennyfeather-0800-235-090.pdf
615	Logan Delos	Logan Delos	Logan Delos/Westworld	Logan Delos/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Logan-Delos-0800-235-090.pdf
616	Felix Lutz	Felix Lutz	Felix Lutz/Westworld	Felix Lutz/Westworld	https://compstorylab.org/archetypometrics/cards/Westworld-Felix-Lutz-0800-235-090.pdf
617	Piper Chapman	Piper Chapman	Piper Chapman/Orange is the New Black	Piper Chapman/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Piper-Chapman-0800-235-090.pdf
618	Alex Vause	Alex Vause	Alex Vause/Orange is the New Black	Alex Vause/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Alex-Vause-0800-235-090.pdf
619	Sam Healy	Sam Healy	Sam Healy/Orange is the New Black	Sam Healy/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Sam-Healy-0800-235-090.pdf
620	Red Reznikov	Red Reznikov	Red Reznikov/Orange is the New Black	Red Reznikov/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Red-Reznikov-0800-235-090.pdf
621	Crazy Eyes	Crazy Eyes	Crazy Eyes/Orange is the New Black	Crazy Eyes/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Crazy-Eyes-0800-235-090.pdf
622	Taystee Jefferson	Taystee Jefferson	Taystee Jefferson/Orange is the New Black	Taystee Jefferson/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Taystee-Jefferson-0800-235-090.pdf
623	Nicky Nichols	Nicky Nichols	Nicky Nichols/Orange is the New Black	Nicky Nichols/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Nicky-Nichols-0800-235-090.pdf
624	Pennsatucky Doggett	Pennsatucky Doggett	Pennsatucky Doggett/Orange is the New Black	Pennsatucky Doggett/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Pennsatucky-Doggett-0800-235-090.pdf
625	Lorna Morello	Lorna Morello	Lorna Morello/Orange is the New Black	Lorna Morello/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Lorna-Morello-0800-235-090.pdf
626	Flaca Gonzales	Flaca Gonzales	Flaca Gonzales/Orange is the New Black	Flaca Gonzales/Orange is the New Black	https://compstorylab.org/archetypometrics/cards/Orange-is-the-New-Black-Flaca-Gonzales-0800-235-090.pdf
627	Cedric Daniels	Cedric Daniels	Cedric Daniels/The Wire	Cedric Daniels/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Cedric-Daniels-0800-235-090.pdf
628	Jimmy McNulty	Jimmy McNulty	Jimmy McNulty/The Wire	Jimmy McNulty/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Jimmy-McNulty-0800-235-090.pdf
629	Kima Greggs	Kima Greggs	Kima Greggs/The Wire	Kima Greggs/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Kima-Greggs-0800-235-090.pdf
630	Lester Freamon	Lester Freamon	Lester Freamon/The Wire	Lester Freamon/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Lester-Freamon-0800-235-090.pdf
631	Bunk Moreland	Bunk Moreland	Bunk Moreland/The Wire	Bunk Moreland/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Bunk-Moreland-0800-235-090.pdf
632	Herc Hauk	Herc Hauk	Herc Hauk/The Wire	Herc Hauk/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Herc-Hauk-0800-235-090.pdf
633	Ellis Carver	Ellis Carver	Ellis Carver/The Wire	Ellis Carver/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Ellis-Carver-0800-235-090.pdf
634	Bubbles Cousins	Bubbles Cousins	Bubbles Cousins/The Wire	Bubbles Cousins/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Bubbles-Cousins-0800-235-090.pdf
635	William Rawls	William Rawls	William Rawls/The Wire	William Rawls/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-William-Rawls-0800-235-090.pdf
636	Roland Pryzbylewski	Roland Pryzbylewski	Roland Pryzbylewski/The Wire	Roland Pryzbylewski/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Roland-Pryzbylewski-0800-235-090.pdf
637	Rhonda Pearlman	Rhonda Pearlman	Rhonda Pearlman/The Wire	Rhonda Pearlman/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Rhonda-Pearlman-0800-235-090.pdf
638	Omar Little	Omar Little	Omar Little/The Wire	Omar Little/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Omar-Little-0800-235-090.pdf
639	Ervin Burrell	Ervin Burrell	Ervin Burrell/The Wire	Ervin Burrell/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Ervin-Burrell-0800-235-090.pdf
640	Bodie Broadus	Bodie Broadus	Bodie Broadus/The Wire	Bodie Broadus/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Bodie-Broadus-0800-235-090.pdf
641	Stringer Bell	Stringer Bell	Stringer Bell/The Wire	Stringer Bell/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Stringer-Bell-0800-235-090.pdf
642	Tommy Carcetti	Tommy Carcetti	Tommy Carcetti/The Wire	Tommy Carcetti/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Tommy-Carcetti-0800-235-090.pdf
643	Avon Barksdale	Avon Barksdale	Avon Barksdale/The Wire	Avon Barksdale/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Avon-Barksdale-0800-235-090.pdf
644	Chris Partlow	Chris Partlow	Chris Partlow/The Wire	Chris Partlow/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Chris-Partlow-0800-235-090.pdf
645	Norman Wilson	Norman Wilson	Norman Wilson/The Wire	Norman Wilson/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Norman-Wilson-0800-235-090.pdf
646	Michael Lee	Michael Lee	Michael Lee/The Wire	Michael Lee/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Michael-Lee-0800-235-090.pdf
647	Maurice Levy	Maurice Levy	Maurice Levy/The Wire	Maurice Levy/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Maurice-Levy-0800-235-090.pdf
648	Beadie Russell	Beadie Russell	Beadie Russell/The Wire	Beadie Russell/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Beadie-Russell-0800-235-090.pdf
649	Cutty Wise	Cutty Wise	Cutty Wise/The Wire	Cutty Wise/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Cutty-Wise-0800-235-090.pdf
650	D'Angelo Barksdale	D'Angelo Barksdale	D'Angelo Barksdale/The Wire	D'Angelo Barksdale/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-DAngelo-Barksdale-0800-235-090.pdf
651	Clay Davis	Clay Davis	Clay Davis/The Wire	Clay Davis/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Clay-Davis-0800-235-090.pdf
652	Clarence Royce	Clarence Royce	Clarence Royce/The Wire	Clarence Royce/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Clarence-Royce-0800-235-090.pdf
653	Spiros Vondopoulos	Spiros Vondopoulos	Spiros Vondopoulos/The Wire	Spiros Vondopoulos/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Spiros-Vondopoulos-0800-235-090.pdf
654	Frank Sobotka	Frank Sobotka	Frank Sobotka/The Wire	Frank Sobotka/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Frank-Sobotka-0800-235-090.pdf
655	Ziggy Sobotka	Ziggy Sobotka	Ziggy Sobotka/The Wire	Ziggy Sobotka/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Ziggy-Sobotka-0800-235-090.pdf
656	Nick Sobotka	Nick Sobotka	Nick Sobotka/The Wire	Nick Sobotka/The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-Nick-Sobotka-0800-235-090.pdf
657	Woody	Woody	Woody/Toy Story	Woody/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Woody-0800-235-090.pdf
658	Buzz Lightyear	Buzz Lightyear	Buzz Lightyear/Toy Story	Buzz Lightyear/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Buzz-Lightyear-0800-235-090.pdf
659	Mr. Potato Head	Mr. Potato Head	Mr. Potato Head/Toy Story	Mr. Potato Head/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Mr-Potato-Head-0800-235-090.pdf
660	Rex	Rex	Rex/Toy Story	Rex/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Rex-0800-235-090.pdf
661	Bo Peep	Bo Peep	Bo Peep/Toy Story	Bo Peep/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Bo-Peep-0800-235-090.pdf
662	Sid Phillips	Sid Phillips	Sid Phillips/Toy Story	Sid Phillips/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Sid-Phillips-0800-235-090.pdf
663	Dale Cooper	Dale Cooper	Dale Cooper/Twin Peaks	Dale Cooper/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Dale-Cooper-0800-235-090.pdf
664	Sheriff Truman	Sheriff Truman	Sheriff Truman/Twin Peaks	Sheriff Truman/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Sheriff-Truman-0800-235-090.pdf
665	Shelly Johnson	Shelly Johnson	Shelly Johnson/Twin Peaks	Shelly Johnson/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Shelly-Johnson-0800-235-090.pdf
666	Bobby Briggs	Bobby Briggs	Bobby Briggs/Twin Peaks	Bobby Briggs/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Bobby-Briggs-0800-235-090.pdf
667	Benjamin Horne	Benjamin Horne	Benjamin Horne/Twin Peaks	Benjamin Horne/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Benjamin-Horne-0800-235-090.pdf
668	Audrey Horne	Audrey Horne	Audrey Horne/Twin Peaks	Audrey Horne/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Audrey-Horne-0800-235-090.pdf
669	Norma Jennings	Norma Jennings	Norma Jennings/Twin Peaks	Norma Jennings/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Norma-Jennings-0800-235-090.pdf
670	James Hurley	James Hurley	James Hurley/Twin Peaks	James Hurley/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-James-Hurley-0800-235-090.pdf
671	Ed Hurley	Ed Hurley	Ed Hurley/Twin Peaks	Ed Hurley/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Ed-Hurley-0800-235-090.pdf
672	Pete Martell	Pete Martell	Pete Martell/Twin Peaks	Pete Martell/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Pete-Martell-0800-235-090.pdf
673	Leland Palmer	Leland Palmer	Leland Palmer/Twin Peaks	Leland Palmer/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Leland-Palmer-0800-235-090.pdf
674	Josie Packard	Josie Packard	Josie Packard/Twin Peaks	Josie Packard/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Josie-Packard-0800-235-090.pdf
675	Catherine Martell	Catherine Martell	Catherine Martell/Twin Peaks	Catherine Martell/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Catherine-Martell-0800-235-090.pdf
676	Lucy Moran	Lucy Moran	Lucy Moran/Twin Peaks	Lucy Moran/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Lucy-Moran-0800-235-090.pdf
677	Donna Hayward	Donna Hayward	Donna Hayward/Twin Peaks	Donna Hayward/Twin Peaks	https://compstorylab.org/archetypometrics/cards/Twin-Peaks-Donna-Hayward-0800-235-090.pdf
678	Michael Scott	Michael Scott	Michael Scott/The Office	Michael Scott/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Michael-Scott-0800-235-090.pdf
679	Dwight Schrute	Dwight Schrute	Dwight Schrute/The Office	Dwight Schrute/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Dwight-Schrute-0800-235-090.pdf
680	Jim Halpert	Jim Halpert	Jim Halpert/The Office	Jim Halpert/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Jim-Halpert-0800-235-090.pdf
681	Pam Beesly	Pam Beesly	Pam Beesly/The Office	Pam Beesly/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Pam-Beesly-0800-235-090.pdf
682	Ryan Howard	Ryan Howard	Ryan Howard/The Office	Ryan Howard/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Ryan-Howard-0800-235-090.pdf
683	Andy Bernard	Andy Bernard	Andy Bernard/The Office	Andy Bernard/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Andy-Bernard-0800-235-090.pdf
684	Jan Levinson	Jan Levinson	Jan Levinson/The Office	Jan Levinson/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Jan-Levinson-0800-235-090.pdf
685	Stanley Hudson	Stanley Hudson	Stanley Hudson/The Office	Stanley Hudson/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Stanley-Hudson-0800-235-090.pdf
686	Kevin Malone	Kevin Malone	Kevin Malone/The Office	Kevin Malone/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Kevin-Malone-0800-235-090.pdf
687	Meredith Palmer	Meredith Palmer	Meredith Palmer/The Office	Meredith Palmer/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Meredith-Palmer-0800-235-090.pdf
688	Angela Martin	Angela Martin	Angela Martin/The Office	Angela Martin/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Angela-Martin-0800-235-090.pdf
689	Phyllis Lapin	Phyllis Lapin	Phyllis Lapin/The Office	Phyllis Lapin/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Phyllis-Lapin-0800-235-090.pdf
690	Kelly Kapoor	Kelly Kapoor	Kelly Kapoor/The Office	Kelly Kapoor/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Kelly-Kapoor-0800-235-090.pdf
691	Erin Hannon	Erin Hannon	Erin Hannon/The Office	Erin Hannon/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Erin-Hannon-0800-235-090.pdf
692	Robert California	Robert California	Robert California/The Office	Robert California/The Office	https://compstorylab.org/archetypometrics/cards/The-Office-Robert-California-0800-235-090.pdf
693	Rust Cohle	Rust Cohle	Rust Cohle/True Detective	Rust Cohle/True Detective	https://compstorylab.org/archetypometrics/cards/True-Detective-Rust-Cohle-0800-235-090.pdf
694	Marty Hart	Marty Hart	Marty Hart/True Detective	Marty Hart/True Detective	https://compstorylab.org/archetypometrics/cards/True-Detective-Marty-Hart-0800-235-090.pdf
695	Maggie Hart	Maggie Hart	Maggie Hart/True Detective	Maggie Hart/True Detective	https://compstorylab.org/archetypometrics/cards/True-Detective-Maggie-Hart-0800-235-090.pdf
696	Dallas	Dallas	Dallas/Alien	Dallas/Alien	https://compstorylab.org/archetypometrics/cards/Alien-Dallas-0800-235-090.pdf
697	Ellen Ripley	Ellen Ripley	Ellen Ripley/Alien	Ellen Ripley/Alien	https://compstorylab.org/archetypometrics/cards/Alien-Ellen-Ripley-0800-235-090.pdf
698	Lambert	Lambert	Lambert/Alien	Lambert/Alien	https://compstorylab.org/archetypometrics/cards/Alien-Lambert-0800-235-090.pdf
699	Ash	Ash	Ash/Alien	Ash/Alien	https://compstorylab.org/archetypometrics/cards/Alien-Ash-0800-235-090.pdf
700	the Alien	the Alien	the Alien/Alien	the Alien/Alien	https://compstorylab.org/archetypometrics/cards/Alien-the-Alien-0800-235-090.pdf
701	Parker	Parker	Parker/Alien	Parker/Alien	https://compstorylab.org/archetypometrics/cards/Alien-Parker-0800-235-090.pdf
702	Michael Bluth	Michael Bluth	Michael Bluth/Arrested Development	Michael Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Michael-Bluth-0800-235-090.pdf
703	Lindsay Bluth	Lindsay Bluth	Lindsay Bluth/Arrested Development	Lindsay Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Lindsay-Bluth-0800-235-090.pdf
704	Gob Bluth	Gob Bluth	Gob Bluth/Arrested Development	Gob Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Gob-Bluth-0800-235-090.pdf
705	George Michael Bluth	George Michael Bluth	George Michael Bluth/Arrested Development	George Michael Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-George-Michael-Bluth-0800-235-090.pdf
706	Maeby Funke	Maeby Funke	Maeby Funke/Arrested Development	Maeby Funke/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Maeby-Funke-0800-235-090.pdf
707	Buster Bluth	Buster Bluth	Buster Bluth/Arrested Development	Buster Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Buster-Bluth-0800-235-090.pdf
708	Tobias Funke	Tobias Funke	Tobias Funke/Arrested Development	Tobias Funke/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Tobias-Funke-0800-235-090.pdf
709	George Bluth, Sr.	George Bluth, Sr.	George Bluth, Sr./Arrested Development	George Bluth, Sr./Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-George-Bluth-Sr-0800-235-090.pdf
710	Oscar Bluth	Oscar Bluth	Oscar Bluth/Arrested Development	Oscar Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Oscar-Bluth-0800-235-090.pdf
711	Lucille Bluth	Lucille Bluth	Lucille Bluth/Arrested Development	Lucille Bluth/Arrested Development	https://compstorylab.org/archetypometrics/cards/Arrested-Development-Lucille-Bluth-0800-235-090.pdf
712	Jack O'Neill	Jack O'Neill	Jack O'Neill/Stargate SG-1	Jack O'Neill/Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-Jack-ONeill-0800-235-090.pdf
713	Daniel Jackson	Daniel Jackson	Daniel Jackson/Stargate SG-1	Daniel Jackson/Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-Daniel-Jackson-0800-235-090.pdf
714	Samantha Carter	Samantha Carter	Samantha Carter/Stargate SG-1	Samantha Carter/Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-Samantha-Carter-0800-235-090.pdf
715	Teal'c	Teal'c	Teal'c/Stargate SG-1	Teal'c/Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-Tealc-0800-235-090.pdf
716	George S. Hammond	George S. Hammond	George S. Hammond/Stargate SG-1	George S. Hammond/Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-George-S-Hammond-0800-235-090.pdf
717	Janet Fraiser	Janet Fraiser	Janet Fraiser/Stargate SG-1	Janet Fraiser/Stargate SG-1	https://compstorylab.org/archetypometrics/cards/Stargate-SG-1-Janet-Fraiser-0800-235-090.pdf
718	Princess Anna Karenina	Princess Anna Karenina	Princess Anna Karenina/Anna Karenina	Princess Anna Karenina/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Princess-Anna-Karenina-0800-235-090.pdf
719	Count Alexei Karenin	Count Alexei Karenin	Count Alexei Karenin/Anna Karenina	Count Alexei Karenin/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Count-Alexei-Karenin-0800-235-090.pdf
720	Count Alexei Vronsky	Count Alexei Vronsky	Count Alexei Vronsky/Anna Karenina	Count Alexei Vronsky/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Count-Alexei-Vronsky-0800-235-090.pdf
721	Princess Darya Oblonskaya	Princess Darya Oblonskaya	Princess Darya Oblonskaya/Anna Karenina	Princess Darya Oblonskaya/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Princess-Darya-Oblonskaya-0800-235-090.pdf
722	Prince Stepan Oblonsky	Prince Stepan Oblonsky	Prince Stepan Oblonsky/Anna Karenina	Prince Stepan Oblonsky/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Prince-Stepan-Oblonsky-0800-235-090.pdf
723	Konstantin Levin	Konstantin Levin	Konstantin Levin/Anna Karenina	Konstantin Levin/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Konstantin-Levin-0800-235-090.pdf
724	Princess Elizaveta Tverskaya	Princess Elizaveta Tverskaya	Princess Elizaveta Tverskaya/Anna Karenina	Princess Elizaveta Tverskaya/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Princess-Elizaveta-Tverskaya-0800-235-090.pdf
725	Princess Ekaterina Shcherbatskaya	Princess Ekaterina Shcherbatskaya	Princess Ekaterina Shcherbatskaya/Anna Karenina	Princess Ekaterina Shcherbatskaya/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Princess-Ekaterina-Shcherbatskaya-0800-235-090.pdf
726	Countess Vronskaya	Countess Vronskaya	Countess Vronskaya/Anna Karenina	Countess Vronskaya/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Countess-Vronskaya-0800-235-090.pdf
727	Countess Lidia Ivanovna	Countess Lidia Ivanovna	Countess Lidia Ivanovna/Anna Karenina	Countess Lidia Ivanovna/Anna Karenina	https://compstorylab.org/archetypometrics/cards/Anna-Karenina-Countess-Lidia-Ivanovna-0800-235-090.pdf
728	Neo	Neo	Neo/The Matrix	Neo/The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-Neo-0800-235-090.pdf
729	Morpheus	Morpheus	Morpheus/The Matrix	Morpheus/The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-Morpheus-0800-235-090.pdf
730	Trinity	Trinity	Trinity/The Matrix	Trinity/The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-Trinity-0800-235-090.pdf
731	Agent Smith	Agent Smith	Agent Smith/The Matrix	Agent Smith/The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-Agent-Smith-0800-235-090.pdf
732	Cypher	Cypher	Cypher/The Matrix	Cypher/The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-Cypher-0800-235-090.pdf
733	The Oracle	The Oracle	The Oracle/The Matrix	The Oracle/The Matrix	https://compstorylab.org/archetypometrics/cards/The-Matrix-The-Oracle-0800-235-090.pdf
734	Dagny Taggart	Dagny Taggart	Dagny Taggart/Atlas Shrugged	Dagny Taggart/Atlas Shrugged	https://compstorylab.org/archetypometrics/cards/Atlas-Shrugged-Dagny-Taggart-0800-235-090.pdf
735	Henry Rearden	Henry Rearden	Henry Rearden/Atlas Shrugged	Henry Rearden/Atlas Shrugged	https://compstorylab.org/archetypometrics/cards/Atlas-Shrugged-Henry-Rearden-0800-235-090.pdf
736	James Taggart	James Taggart	James Taggart/Atlas Shrugged	James Taggart/Atlas Shrugged	https://compstorylab.org/archetypometrics/cards/Atlas-Shrugged-James-Taggart-0800-235-090.pdf
737	John Galt	John Galt	John Galt/Atlas Shrugged	John Galt/Atlas Shrugged	https://compstorylab.org/archetypometrics/cards/Atlas-Shrugged-John-Galt-0800-235-090.pdf
