index	character	character in latex	character/story	character/story in latex	card url
1	Applejack	Applejack	Applejack/My Little Pony: Friendship Is Magic	Applejack/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Applejack-2000-464-341.pdf
2	Twilight Sparkle	Twilight Sparkle	Twilight Sparkle/My Little Pony: Friendship Is Magic	Twilight Sparkle/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Twilight-Sparkle-2000-464-341.pdf
3	Rarity	Rarity	Rarity/My Little Pony: Friendship Is Magic	Rarity/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Rarity-2000-464-341.pdf
4	Pinkie Pie	Pinkie Pie	Pinkie Pie/My Little Pony: Friendship Is Magic	Pinkie Pie/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Pinkie-Pie-2000-464-341.pdf
5	Spike	Spike	Spike/My Little Pony: Friendship Is Magic	Spike/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Spike-2000-464-341.pdf
6	Princess Celestia	Princess Celestia	Princess Celestia/My Little Pony: Friendship Is Magic	Princess Celestia/My Little Pony: Friendship Is Magic	https://compstorylab.org/archetypometrics/cards/My-Little-Pony-Friendship-Is-Magic-Princess-Celestia-2000-464-341.pdf
7	Leroy Jethro Gibbs	Leroy Jethro Gibbs	Leroy Jethro Gibbs/NCIS	Leroy Jethro Gibbs/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Leroy-Jethro-Gibbs-2000-464-341.pdf
8	Anthony DiNozzo	Anthony DiNozzo	Anthony DiNozzo/NCIS	Anthony DiNozzo/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Anthony-DiNozzo-2000-464-341.pdf
9	Abby Sciuto	Abby Sciuto	Abby Sciuto/NCIS	Abby Sciuto/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Abby-Sciuto-2000-464-341.pdf
10	Donald Mallard	Donald Mallard	Donald Mallard/NCIS	Donald Mallard/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Donald-Mallard-2000-464-341.pdf
11	Timothy McGee	Timothy McGee	Timothy McGee/NCIS	Timothy McGee/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Timothy-McGee-2000-464-341.pdf
12	Jimmy Palmer	Jimmy Palmer	Jimmy Palmer/NCIS	Jimmy Palmer/NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-Jimmy-Palmer-2000-464-341.pdf
13	Wynonna Earp	Wynonna Earp	Wynonna Earp/Wynonna Earp	Wynonna Earp/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Wynonna-Earp-2000-464-341.pdf
14	Doc Holliday	Doc Holliday	Doc Holliday/Wynonna Earp	Doc Holliday/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Doc-Holliday-2000-464-341.pdf
15	Waverly Earp	Waverly Earp	Waverly Earp/Wynonna Earp	Waverly Earp/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Waverly-Earp-2000-464-341.pdf
16	Nicole Haught	Nicole Haught	Nicole Haught/Wynonna Earp	Nicole Haught/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Nicole-Haught-2000-464-341.pdf
17	Jeremy Chetri	Jeremy Chetri	Jeremy Chetri/Wynonna Earp	Jeremy Chetri/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Jeremy-Chetri-2000-464-341.pdf
18	Rick Grimes	Rick Grimes	Rick Grimes/The Walking Dead	Rick Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Rick-Grimes-2000-464-341.pdf
19	Shane Walsh	Shane Walsh	Shane Walsh/The Walking Dead	Shane Walsh/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Shane-Walsh-2000-464-341.pdf
20	Lori Grimes	Lori Grimes	Lori Grimes/The Walking Dead	Lori Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Lori-Grimes-2000-464-341.pdf
21	Andrea	Andrea	Andrea/The Walking Dead	Andrea/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Andrea-2000-464-341.pdf
22	Dale Horvath	Dale Horvath	Dale Horvath/The Walking Dead	Dale Horvath/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Dale-Horvath-2000-464-341.pdf
23	Glenn Rhee	Glenn Rhee	Glenn Rhee/The Walking Dead	Glenn Rhee/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Glenn-Rhee-2000-464-341.pdf
24	Carl Grimes	Carl Grimes	Carl Grimes/The Walking Dead	Carl Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carl-Grimes-2000-464-341.pdf
25	Daryl Dixon	Daryl Dixon	Daryl Dixon/The Walking Dead	Daryl Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Daryl-Dixon-2000-464-341.pdf
26	Carol Peletier	Carol Peletier	Carol Peletier/The Walking Dead	Carol Peletier/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carol-Peletier-2000-464-341.pdf
27	Merle Dixon	Merle Dixon	Merle Dixon/The Walking Dead	Merle Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Merle-Dixon-2000-464-341.pdf
28	Neal Caffrey	Neal Caffrey	Neal Caffrey/White Collar	Neal Caffrey/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Neal-Caffrey-2000-464-341.pdf
29	Peter Burke	Peter Burke	Peter Burke/White Collar	Peter Burke/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Peter-Burke-2000-464-341.pdf
30	Mozzie	Mozzie	Mozzie/White Collar	Mozzie/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Mozzie-2000-464-341.pdf
31	Elizabeth Burke	Elizabeth Burke	Elizabeth Burke/White Collar	Elizabeth Burke/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Elizabeth-Burke-2000-464-341.pdf
32	Clinton Jones	Clinton Jones	Clinton Jones/White Collar	Clinton Jones/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Clinton-Jones-2000-464-341.pdf
33	Diana Barrigan	Diana Barrigan	Diana Barrigan/White Collar	Diana Barrigan/White Collar	https://compstorylab.org/archetypometrics/cards/White-Collar-Diana-Barrigan-2000-464-341.pdf
34	Walter White	Walter White	Walter White/Breaking Bad	Walter White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Walter-White-2000-464-341.pdf
35	Skyler White	Skyler White	Skyler White/Breaking Bad	Skyler White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Skyler-White-2000-464-341.pdf
36	Jesse Pinkman	Jesse Pinkman	Jesse Pinkman/Breaking Bad	Jesse Pinkman/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Jesse-Pinkman-2000-464-341.pdf
37	Hank Schrader	Hank Schrader	Hank Schrader/Breaking Bad	Hank Schrader/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Hank-Schrader-2000-464-341.pdf
38	Marie Schrader	Marie Schrader	Marie Schrader/Breaking Bad	Marie Schrader/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Marie-Schrader-2000-464-341.pdf
39	Flynn White	Flynn White	Flynn White/Breaking Bad	Flynn White/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Flynn-White-2000-464-341.pdf
40	Saul Goodman	Saul Goodman	Saul Goodman/Breaking Bad	Saul Goodman/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Saul-Goodman-2000-464-341.pdf
41	Gus Fring	Gus Fring	Gus Fring/Breaking Bad	Gus Fring/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Gus-Fring-2000-464-341.pdf
42	Mike Ehrmantraut	Mike Ehrmantraut	Mike Ehrmantraut/Breaking Bad	Mike Ehrmantraut/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Mike-Ehrmantraut-2000-464-341.pdf
43	Jane Margolis	Jane Margolis	Jane Margolis/Breaking Bad	Jane Margolis/Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-Jane-Margolis-2000-464-341.pdf
44	John Bender	John Bender	John Bender/The Breakfast Club	John Bender/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-John-Bender-2000-464-341.pdf
45	Claire Standish	Claire Standish	Claire Standish/The Breakfast Club	Claire Standish/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Claire-Standish-2000-464-341.pdf
46	Andrew Clark	Andrew Clark	Andrew Clark/The Breakfast Club	Andrew Clark/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Andrew-Clark-2000-464-341.pdf
47	Brian Johnson	Brian Johnson	Brian Johnson/The Breakfast Club	Brian Johnson/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Brian-Johnson-2000-464-341.pdf
48	Allison Reynolds	Allison Reynolds	Allison Reynolds/The Breakfast Club	Allison Reynolds/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Allison-Reynolds-2000-464-341.pdf
49	Principal Vernon	Principal Vernon	Principal Vernon/The Breakfast Club	Principal Vernon/The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-Principal-Vernon-2000-464-341.pdf
50	Dorothy Gale	Dorothy Gale	Dorothy Gale/The Wizard of Oz	Dorothy Gale/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-Dorothy-Gale-2000-464-341.pdf
51	The Wizard of Oz	The Wizard of Oz	The Wizard of Oz/The Wizard of Oz	The Wizard of Oz/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Wizard-of-Oz-2000-464-341.pdf
52	The Scarecrow	The Scarecrow	The Scarecrow/The Wizard of Oz	The Scarecrow/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Scarecrow-2000-464-341.pdf
53	The Tin Man	The Tin Man	The Tin Man/The Wizard of Oz	The Tin Man/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Tin-Man-2000-464-341.pdf
54	The Cowardly Lion	The Cowardly Lion	The Cowardly Lion/The Wizard of Oz	The Cowardly Lion/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Cowardly-Lion-2000-464-341.pdf
55	The Wicked Witch of the West	The Wicked Witch of the West	The Wicked Witch of the West/The Wizard of Oz	The Wicked Witch of the West/The Wizard of Oz	https://compstorylab.org/archetypometrics/cards/The-Wizard-of-Oz-The-Wicked-Witch-of-the-West-2000-464-341.pdf
56	Jack Pearson	Jack Pearson	Jack Pearson/This Is Us	Jack Pearson/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Jack-Pearson-2000-464-341.pdf
57	Rebecca Pearson	Rebecca Pearson	Rebecca Pearson/This Is Us	Rebecca Pearson/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Rebecca-Pearson-2000-464-341.pdf
58	Randall Pearson	Randall Pearson	Randall Pearson/This Is Us	Randall Pearson/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Randall-Pearson-2000-464-341.pdf
59	Kate Pearson	Kate Pearson	Kate Pearson/This Is Us	Kate Pearson/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Kate-Pearson-2000-464-341.pdf
60	Kevin Pearson	Kevin Pearson	Kevin Pearson/This Is Us	Kevin Pearson/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Kevin-Pearson-2000-464-341.pdf
61	Beth Pearson	Beth Pearson	Beth Pearson/This Is Us	Beth Pearson/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Beth-Pearson-2000-464-341.pdf
62	Toby Damon	Toby Damon	Toby Damon/This Is Us	Toby Damon/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Toby-Damon-2000-464-341.pdf
63	William H. 'Shakespeare' Hill	William H. `Shakespeare' Hill	William H. 'Shakespeare' Hill/This Is Us	William H. 'Shakespeare' Hill/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-William-H-Shakespeare-Hill-2000-464-341.pdf
64	Miguel Rivas	Miguel Rivas	Miguel Rivas/This Is Us	Miguel Rivas/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Miguel-Rivas-2000-464-341.pdf
65	Sophie	Sophie	Sophie/This Is Us	Sophie/This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-Sophie-2000-464-341.pdf
66	Jane Villanueva	Jane Villanueva	Jane Villanueva/Jane the Virgin	Jane Villanueva/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Jane-Villanueva-2000-464-341.pdf
67	Xiomara Villanueva	Xiomara Villanueva	Xiomara Villanueva/Jane the Virgin	Xiomara Villanueva/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Xiomara-Villanueva-2000-464-341.pdf
68	Petra Solano	Petra Solano	Petra Solano/Jane the Virgin	Petra Solano/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Petra-Solano-2000-464-341.pdf
69	Alba Villanueva	Alba Villanueva	Alba Villanueva/Jane the Virgin	Alba Villanueva/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Alba-Villanueva-2000-464-341.pdf
70	Rogelio De La Vega	Rogelio De La Vega	Rogelio De La Vega/Jane the Virgin	Rogelio De La Vega/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Rogelio-De-La-Vega-2000-464-341.pdf
71	Rafael Solano	Rafael Solano	Rafael Solano/Jane the Virgin	Rafael Solano/Jane the Virgin	https://compstorylab.org/archetypometrics/cards/Jane-the-Virgin-Rafael-Solano-2000-464-341.pdf
72	John Wick	John Wick	John Wick/John Wick	John Wick/John Wick	https://compstorylab.org/archetypometrics/cards/John-Wick-John-Wick-2000-464-341.pdf
73	Dr. Alan Grant	Dr. Alan Grant	Dr. Alan Grant/Jurassic Park	Dr. Alan Grant/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dr-Alan-Grant-2000-464-341.pdf
74	Dr. Ellie Sattler	Dr. Ellie Sattler	Dr. Ellie Sattler/Jurassic Park	Dr. Ellie Sattler/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dr-Ellie-Sattler-2000-464-341.pdf
75	Dr. Ian Malcolm	Dr. Ian Malcolm	Dr. Ian Malcolm/Jurassic Park	Dr. Ian Malcolm/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dr-Ian-Malcolm-2000-464-341.pdf
76	John Hammond	John Hammond	John Hammond/Jurassic Park	John Hammond/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-John-Hammond-2000-464-341.pdf
77	Ray Arnold	Ray Arnold	Ray Arnold/Jurassic Park	Ray Arnold/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Ray-Arnold-2000-464-341.pdf
78	Dennis Nedry	Dennis Nedry	Dennis Nedry/Jurassic Park	Dennis Nedry/Jurassic Park	https://compstorylab.org/archetypometrics/cards/Jurassic-Park-Dennis-Nedry-2000-464-341.pdf
79	Jason Bourne	Jason Bourne	Jason Bourne/The Bourne Identity	Jason Bourne/The Bourne Identity	https://compstorylab.org/archetypometrics/cards/The-Bourne-Identity-Jason-Bourne-2000-464-341.pdf
80	Marie Kreutz	Marie Kreutz	Marie Kreutz/The Bourne Identity	Marie Kreutz/The Bourne Identity	https://compstorylab.org/archetypometrics/cards/The-Bourne-Identity-Marie-Kreutz-2000-464-341.pdf
81	Alexander Conklin	Alexander Conklin	Alexander Conklin/The Bourne Identity	Alexander Conklin/The Bourne Identity	https://compstorylab.org/archetypometrics/cards/The-Bourne-Identity-Alexander-Conklin-2000-464-341.pdf
82	Woody	Woody	Woody/Toy Story	Woody/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Woody-2000-464-341.pdf
83	Buzz Lightyear	Buzz Lightyear	Buzz Lightyear/Toy Story	Buzz Lightyear/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Buzz-Lightyear-2000-464-341.pdf
84	Mr. Potato Head	Mr. Potato Head	Mr. Potato Head/Toy Story	Mr. Potato Head/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Mr-Potato-Head-2000-464-341.pdf
85	Rex	Rex	Rex/Toy Story	Rex/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Rex-2000-464-341.pdf
86	Bo Peep	Bo Peep	Bo Peep/Toy Story	Bo Peep/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Bo-Peep-2000-464-341.pdf
87	Sid Phillips	Sid Phillips	Sid Phillips/Toy Story	Sid Phillips/Toy Story	https://compstorylab.org/archetypometrics/cards/Toy-Story-Sid-Phillips-2000-464-341.pdf
88	Josiah Bartlet	Josiah Bartlet	Josiah Bartlet/The West Wing	Josiah Bartlet/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Josiah-Bartlet-2000-464-341.pdf
89	Leo McGarry	Leo McGarry	Leo McGarry/The West Wing	Leo McGarry/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Leo-McGarry-2000-464-341.pdf
90	Josh Lyman	Josh Lyman	Josh Lyman/The West Wing	Josh Lyman/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Josh-Lyman-2000-464-341.pdf
91	Toby Ziegler	Toby Ziegler	Toby Ziegler/The West Wing	Toby Ziegler/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Toby-Ziegler-2000-464-341.pdf
92	Sam Seaborn	Sam Seaborn	Sam Seaborn/The West Wing	Sam Seaborn/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Sam-Seaborn-2000-464-341.pdf
93	C. J. Cregg	C. J. Cregg	C. J. Cregg/The West Wing	C. J. Cregg/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-C-J-Cregg-2000-464-341.pdf
94	Charlie Young	Charlie Young	Charlie Young/The West Wing	Charlie Young/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Charlie-Young-2000-464-341.pdf
95	Donna Moss	Donna Moss	Donna Moss/The West Wing	Donna Moss/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Donna-Moss-2000-464-341.pdf
96	Abbey Bartlet	Abbey Bartlet	Abbey Bartlet/The West Wing	Abbey Bartlet/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Abbey-Bartlet-2000-464-341.pdf
97	Joey Lucas	Joey Lucas	Joey Lucas/The West Wing	Joey Lucas/The West Wing	https://compstorylab.org/archetypometrics/cards/The-West-Wing-Joey-Lucas-2000-464-341.pdf
98	Wanda Maximoff	Wanda Maximoff	Wanda Maximoff/WandaVision	Wanda Maximoff/WandaVision	https://compstorylab.org/archetypometrics/cards/WandaVision-Wanda-Maximoff-2000-464-341.pdf
99	Vision	Vision	Vision/WandaVision	Vision/WandaVision	https://compstorylab.org/archetypometrics/cards/WandaVision-Vision-2000-464-341.pdf
100	Agatha Harkness	Agatha Harkness	Agatha Harkness/WandaVision	Agatha Harkness/WandaVision	https://compstorylab.org/archetypometrics/cards/WandaVision-Agatha-Harkness-2000-464-341.pdf
101	Will Graham	Will Graham	Will Graham/Hannibal	Will Graham/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Will-Graham-2000-464-341.pdf
102	Dr. Hannibal Lecter	Dr. Hannibal Lecter	Dr. Hannibal Lecter/Hannibal	Dr. Hannibal Lecter/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Dr-Hannibal-Lecter-2000-464-341.pdf
103	Dr. Alana Bloom	Dr. Alana Bloom	Dr. Alana Bloom/Hannibal	Dr. Alana Bloom/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Dr-Alana-Bloom-2000-464-341.pdf
104	Jack Crawford	Jack Crawford	Jack Crawford/Hannibal	Jack Crawford/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Jack-Crawford-2000-464-341.pdf
105	Jimmy Price	Jimmy Price	Jimmy Price/Hannibal	Jimmy Price/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Jimmy-Price-2000-464-341.pdf
106	Brian Zeller	Brian Zeller	Brian Zeller/Hannibal	Brian Zeller/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Brian-Zeller-2000-464-341.pdf
107	Dr. Bedelia Du Maurier	Dr. Bedelia Du Maurier	Dr. Bedelia Du Maurier/Hannibal	Dr. Bedelia Du Maurier/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Dr-Bedelia-Du-Maurier-2000-464-341.pdf
108	Beverly Katz	Beverly Katz	Beverly Katz/Hannibal	Beverly Katz/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Beverly-Katz-2000-464-341.pdf
109	Abigail Hobbs	Abigail Hobbs	Abigail Hobbs/Hannibal	Abigail Hobbs/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Abigail-Hobbs-2000-464-341.pdf
110	Freddie Lounds	Freddie Lounds	Freddie Lounds/Hannibal	Freddie Lounds/Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-Freddie-Lounds-2000-464-341.pdf
111	Jim Holden	Jim Holden	Jim Holden/The Expanse	Jim Holden/The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-Jim-Holden-2000-464-341.pdf
112	Naomi Nagata	Naomi Nagata	Naomi Nagata/The Expanse	Naomi Nagata/The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-Naomi-Nagata-2000-464-341.pdf
113	Amos Burton	Amos Burton	Amos Burton/The Expanse	Amos Burton/The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-Amos-Burton-2000-464-341.pdf
114	Chrisjen Avasarala	Chrisjen Avasarala	Chrisjen Avasarala/The Expanse	Chrisjen Avasarala/The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-Chrisjen-Avasarala-2000-464-341.pdf
115	Alex Kamal	Alex Kamal	Alex Kamal/The Expanse	Alex Kamal/The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-Alex-Kamal-2000-464-341.pdf
116	Bobbie Draper	Bobbie Draper	Bobbie Draper/The Expanse	Bobbie Draper/The Expanse	https://compstorylab.org/archetypometrics/cards/The-Expanse-Bobbie-Draper-2000-464-341.pdf
117	Nina Sayers	Nina Sayers	Nina Sayers/Black Swan	Nina Sayers/Black Swan	https://compstorylab.org/archetypometrics/cards/Black-Swan-Nina-Sayers-2000-464-341.pdf
118	Lily	Lily	Lily/Black Swan	Lily/Black Swan	https://compstorylab.org/archetypometrics/cards/Black-Swan-Lily-2000-464-341.pdf
119	Thomas Leroy	Thomas Leroy	Thomas Leroy/Black Swan	Thomas Leroy/Black Swan	https://compstorylab.org/archetypometrics/cards/Black-Swan-Thomas-Leroy-2000-464-341.pdf
120	Jane Eyre	Jane Eyre	Jane Eyre/Jane Eyre	Jane Eyre/Jane Eyre	https://compstorylab.org/archetypometrics/cards/Jane-Eyre-Jane-Eyre-2000-464-341.pdf
121	Edward Fairfax Rochester	Edward Fairfax Rochester	Edward Fairfax Rochester/Jane Eyre	Edward Fairfax Rochester/Jane Eyre	https://compstorylab.org/archetypometrics/cards/Jane-Eyre-Edward-Fairfax-Rochester-2000-464-341.pdf
122	Donald G. Malarkey	Donald G. Malarkey	Donald G. Malarkey/Band of Brothers	Donald G. Malarkey/Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-Donald-G-Malarkey-2000-464-341.pdf
123	Richard D. Winters	Richard D. Winters	Richard D. Winters/Band of Brothers	Richard D. Winters/Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-Richard-D-Winters-2000-464-341.pdf
124	Lewis Nixon	Lewis Nixon	Lewis Nixon/Band of Brothers	Lewis Nixon/Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-Lewis-Nixon-2000-464-341.pdf
125	Eugene G. Roe	Eugene G. Roe	Eugene G. Roe/Band of Brothers	Eugene G. Roe/Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-Eugene-G-Roe-2000-464-341.pdf
126	C. Carwood Lipton	C. Carwood Lipton	C. Carwood Lipton/Band of Brothers	C. Carwood Lipton/Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-C-Carwood-Lipton-2000-464-341.pdf
127	Darrell C. (Shifty) Powers	Darrell C. (Shifty) Powers	Darrell C. (Shifty) Powers/Band of Brothers	Darrell C. (Shifty) Powers/Band of Brothers	https://compstorylab.org/archetypometrics/cards/Band-of-Brothers-Darrell-C-Shifty-Powers-2000-464-341.pdf
128	Eric Taylor	Eric Taylor	Eric Taylor/Friday Night Lights	Eric Taylor/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Eric-Taylor-2000-464-341.pdf
129	Tami Taylor	Tami Taylor	Tami Taylor/Friday Night Lights	Tami Taylor/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Tami-Taylor-2000-464-341.pdf
130	Smash Williams	Smash Williams	Smash Williams/Friday Night Lights	Smash Williams/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Smash-Williams-2000-464-341.pdf
131	Matt Saracen	Matt Saracen	Matt Saracen/Friday Night Lights	Matt Saracen/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Matt-Saracen-2000-464-341.pdf
132	Lyla Garrity	Lyla Garrity	Lyla Garrity/Friday Night Lights	Lyla Garrity/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Lyla-Garrity-2000-464-341.pdf
133	Tim Riggins	Tim Riggins	Tim Riggins/Friday Night Lights	Tim Riggins/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Tim-Riggins-2000-464-341.pdf
134	Tyra Collette	Tyra Collette	Tyra Collette/Friday Night Lights	Tyra Collette/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Tyra-Collette-2000-464-341.pdf
135	Landry Clarke	Landry Clarke	Landry Clarke/Friday Night Lights	Landry Clarke/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Landry-Clarke-2000-464-341.pdf
136	Jason Street	Jason Street	Jason Street/Friday Night Lights	Jason Street/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Jason-Street-2000-464-341.pdf
137	Julie Taylor	Julie Taylor	Julie Taylor/Friday Night Lights	Julie Taylor/Friday Night Lights	https://compstorylab.org/archetypometrics/cards/Friday-Night-Lights-Julie-Taylor-2000-464-341.pdf
