index	character	character in latex	character/story	character/story in latex	card url
1247	Carmela Soprano	Carmela Soprano	Carmela Soprano/The Sopranos	Carmela Soprano/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Carmela-Soprano-2000-464-341.pdf
1248	Christopher Moltisanti	Christopher Moltisanti	Christopher Moltisanti/The Sopranos	Christopher Moltisanti/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Christopher-Moltisanti-2000-464-341.pdf
1249	Junior Soprano	Junior Soprano	Junior Soprano/The Sopranos	Junior Soprano/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Junior-Soprano-2000-464-341.pdf
1250	Silvio Dante	Silvio Dante	Silvio Dante/The Sopranos	Silvio Dante/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Silvio-Dante-2000-464-341.pdf
1251	Paulie 'Walnuts' Gualtieri	Paulie `Walnuts' Gualtieri	Paulie 'Walnuts' Gualtieri/The Sopranos	Paulie 'Walnuts' Gualtieri/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Paulie-Walnuts-Gualtieri-2000-464-341.pdf
1252	A.J. Soprano	A.J. Soprano	A.J. Soprano/The Sopranos	A.J. Soprano/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-AJ-Soprano-2000-464-341.pdf
1253	Meadow Soprano	Meadow Soprano	Meadow Soprano/The Sopranos	Meadow Soprano/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Meadow-Soprano-2000-464-341.pdf
1254	Janice Soprano	Janice Soprano	Janice Soprano/The Sopranos	Janice Soprano/The Sopranos	https://compstorylab.org/archetypometrics/cards/The-Sopranos-Janice-Soprano-2000-464-341.pdf
1255	Paul Atreides	Paul Atreides	Paul Atreides/Dune	Paul Atreides/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Paul-Atreides-2000-464-341.pdf
1256	Lady Jessica	Lady Jessica	Lady Jessica/Dune	Lady Jessica/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Lady-Jessica-2000-464-341.pdf
1257	Duke Leto Atreides	Duke Leto Atreides	Duke Leto Atreides/Dune	Duke Leto Atreides/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Duke-Leto-Atreides-2000-464-341.pdf
1258	Baron Harkonnen	Baron Harkonnen	Baron Harkonnen/Dune	Baron Harkonnen/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Baron-Harkonnen-2000-464-341.pdf
1259	Thufir Hawat	Thufir Hawat	Thufir Hawat/Dune	Thufir Hawat/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Thufir-Hawat-2000-464-341.pdf
1260	Chani	Chani	Chani/Dune	Chani/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Chani-2000-464-341.pdf
1261	Wolverine	Wolverine	Wolverine/X-Men	Wolverine/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Wolverine-2000-464-341.pdf
1262	Professor X	Professor X	Professor X/X-Men	Professor X/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Professor-X-2000-464-341.pdf
1263	Magneto	Magneto	Magneto/X-Men	Magneto/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Magneto-2000-464-341.pdf
1264	Mystique	Mystique	Mystique/X-Men	Mystique/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Mystique-2000-464-341.pdf
1265	Jean Grey	Jean Grey	Jean Grey/X-Men	Jean Grey/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Jean-Grey-2000-464-341.pdf
1266	Cyclops	Cyclops	Cyclops/X-Men	Cyclops/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Cyclops-2000-464-341.pdf
1267	Storm	Storm	Storm/X-Men	Storm/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Storm-2000-464-341.pdf
1268	Rogue	Rogue	Rogue/X-Men	Rogue/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Rogue-2000-464-341.pdf
1269	Iceman	Iceman	Iceman/X-Men	Iceman/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Iceman-2000-464-341.pdf
1270	Colossus	Colossus	Colossus/X-Men	Colossus/X-Men	https://compstorylab.org/archetypometrics/cards/X-Men-Colossus-2000-464-341.pdf
1271	Marianne Sheridan	Marianne Sheridan	Marianne Sheridan/Normal People	Marianne Sheridan/Normal People	https://compstorylab.org/archetypometrics/cards/Normal-People-Marianne-Sheridan-2000-464-341.pdf
1272	Connell Waldron	Connell Waldron	Connell Waldron/Normal People	Connell Waldron/Normal People	https://compstorylab.org/archetypometrics/cards/Normal-People-Connell-Waldron-2000-464-341.pdf
